"Yonge-Dundas", 1, "POLYGON((-79.37580871555838 43.66042186121453,-79.37377023670706 43.65536101017336,-79.36456489536795 43.65680479337305,-79.36688232395682 43.66251748751856,-79.37580871555838 43.66042186121453))"
"Art-Gallery", 1, "POLYGON((-79.40066528215539 43.65813987382626,-79.39834785356652 43.65224045692623,-79.38770484819543 43.654476093634734,-79.38959312334191 43.6603131971151,-79.40066528215539 43.65813987382626))"
